Operator,eNB,Lat,Lon,Band,FreqMHz,PCI,Height,Azimuth,Sector,Power
TT,715262,39.8703,33.4512,B3,1800,1306,35,"0 120 240",3,46
TT,717019,39.8718,33.4525,B3,1800,1306,30,"120 240",2,46
TT,713217,39.8682,33.4455,B3,1800,1306,40,"90 270",2,46
TT,713499,39.8675,33.4575,B3,1800,1306,35,"0 120 240",3,46
TT,711702,39.8665,33.4535,B3,1800,1306,30,"100 280",2,46
