Operator,eNB,Lat,Lon,Band,FreqMHz,PCI,Height,Azimuth,Sector,Power
Vodafone,87903,39.8662,33.4578,B7,2600,3075,35,"30 150 270",3,46
Vodafone,24505,39.8671,33.4502,B3,1800,1899,30,"90 270",2,46
